S0,P,APE,kappa,runtime,K,dt
100,10000,0.00749196,8.17534e+15,0.204075,110,0.00025
100,10000,0.0501447,8.32416e+15,0.206691,110,0.00025
100,10000,0.020542,8.54942e+15,0.20585,110,0.00025
100,10000,0.0840788,8.22629e+15,0.204658,110,0.00025
100,10000,0.00792415,8.20831e+15,0.207575,110,0.00025
100,10000,0.0415837,8.7829e+15,0.206398,110,0.00025
100,10000,0.0733883,8.4982e+15,0.204647,110,0.00025
100,10000,0.00418073,8.50644e+15,0.206021,110,0.00025
100,10000,0.0419336,8.24627e+15,0.214791,110,0.00025
100,10000,0.333587,8.3675e+15,0.209579,105,0.00025
100,10000,0.144915,7.96814e+15,0.220957,105,0.00025
100,10000,0.156247,8.38784e+15,0.204313,105,0.00025
100,10000,0.246097,8.39209e+15,0.204319,105,0.00025
100,10000,0.383854,8.28359e+15,0.219471,105,0.00025
100,10000,0.344457,8.15958e+15,0.207146,105,0.00025
100,10000,0.0520692,8.18432e+15,0.206487,105,0.00025
100,10000,0.0474427,8.8689e+15,0.209594,105,0.00025
100,10000,0.656932,8.37357e+15,0.205779,105,0.00025
100,10000,0.0105406,8.06613e+15,0.214108,105,0.00025
100,10000,0.222302,8.2953e+15,0.205842,105,0.00025
100,10000,0.0801835,8.50246e+15,0.220057,105,0.00025
100,10000,0.310742,8.35655e+15,0.204355,105,0.00025
100,10000,0.607835,8.0685e+15,0.204162,105,0.00025
100,10000,0.154018,8.07103e+15,0.208102,105,0.00025
100,10000,0.36593,8.47823e+15,0.205219,105,0.00025
100,10000,0.159834,8.21495e+15,0.204245,105,0.00025
100,10000,0.480054,8.68546e+15,0.204819,105,0.00025
100,10000,0.32933,8.34193e+15,0.206136,105,0.00025
100,10000,0.352087,8.04706e+15,0.205459,105,0.00025
100,10000,0.128293,8.81971e+15,0.205558,105,0.00025
100,10000,0.461195,8.42875e+15,0.212101,105,0.00025
100,10000,0.229988,8.12654e+15,0.205667,105,0.00025
100,10000,0.0522148,8.44538e+15,0.206536,105,0.00025
100,10000,0.0290202,8.45709e+15,0.203878,105,0.00025
100,10000,0.0179059,8.57411e+15,0.20717,105,0.00025
100,10000,0.308673,8.46904e+15,0.206461,105,0.00025
100,10000,0.104608,8.99529e+15,0.204753,105,0.00025
100,10000,0.108257,8.70721e+15,0.204102,105,0.00025
100,10000,0.388428,8.02781e+15,0.205631,105,0.00025
100,10000,0.300796,7.98702e+15,0.206524,105,0.00025
100,10000,0.0710463,8.50297e+15,0.205894,105,0.00025
100,10000,0.0496261,8.53849e+15,0.21904,105,0.00025
100,10000,0.012344,8.21936e+15,0.206895,105,0.00025
100,10000,0.188344,8.39864e+15,0.213119,105,0.00025
100,10000,0.270679,8.24237e+15,0.203687,105,0.00025
100,10000,0.348705,8.24639e+15,0.203895,105,0.00025
100,10000,0.294383,8.22899e+15,0.204705,105,0.00025
100,10000,0.0886078,8.45754e+15,0.207901,105,0.00025
100,10000,0.327264,8.29384e+15,0.203931,105,0.00025
100,10000,0.444496,8.18665e+15,0.20585,105,0.00025
100,10000,0.203473,8.23046e+15,0.209059,105,0.00025
100,10000,0.0906524,8.20273e+15,0.220144,105,0.00025
100,10000,0.0816987,8.62525e+15,0.202182,105,0.00025
100,10000,0.102792,8.4362e+15,0.204767,105,0.00025
100,10000,0.0478489,8.79032e+15,0.204545,105,0.00025
100,10000,0.357668,7.89828e+15,0.208782,105,0.00025
100,10000,0.543061,8.13138e+15,0.204284,105,0.00025
100,10000,0.26339,8.37215e+15,0.207165,105,0.00025
100,10000,0.333885,8.49906e+15,0.218536,105,0.00025
100,10000,1.02406,2.63524e+16,0.132562,100,0.00025
