N,P,APE,kappa,runtime,K,dt
150,10000,0.167497,9.08044e+12,0.253251,110,0.00666667
100,10000,0.482902,6.33521e+12,0.167991,110,0.01
50,10000,0.205697,3.65259e+12,0.0870639,110,0.02
35,10000,0.910328,3.0027e+12,0.0628566,110,0.0285714
20,10000,0.712113,2.16108e+12,0.0360151,110,0.05
15,10000,1.10723,1.91562e+12,0.0261796,110,0.0666667
10,10000,0.57743,1.50908e+12,0.0182138,110,0.1
5,10000,2.2503,1.06744e+12,0.0089618,110,0.2
3,10000,3.83236,8.13306e+11,0.0052609,110,0.333333
2,10000,3.91793,5.62956e+11,0.0033029,110,0.5
1,10000,10.3331,0,0.0012432,110,1
10000,10000,1.75625,2.05201e+14,21.26,110,0.0001
7500,10000,0.0733535,3.76163e+14,19.5256,110,0.000133333
5000,10000,0.52606,2.58951e+14,9.82793,110,0.0002
2500,10000,1.04837,1.3252e+14,5.07787,110,0.0004
1000,10000,1.07609,5.04196e+13,1.73352,110,0.001
500,10000,0.0300572,2.87719e+13,0.861005,110,0.002
250,10000,1.14892,1.439e+13,0.419502,110,0.004
200,10000,0.600854,1.18274e+13,0.329178,110,0.005
150,10000,0.259204,9.1539e+12,0.247785,110,0.00666667
100,10000,1.24447,6.42717e+12,0.181822,110,0.01
50,10000,0.106219,3.56643e+12,0.0925159,110,0.02
35,10000,0.87085,2.96023e+12,0.0628121,110,0.0285714
20,10000,0.0573027,2.20311e+12,0.0351726,110,0.05
15,10000,0.666481,1.93017e+12,0.0268704,110,0.0666667
10,10000,1.42968,1.61058e+12,0.0182287,110,0.1
5,10000,1.61742,1.14015e+12,0.0089142,110,0.2
3,10000,2.52692,8.05986e+11,0.0052034,110,0.333333
2,10000,5.25074,6.26711e+11,0.0033951,110,0.5
1,10000,10.7597,0,0.0013131,110,1
10000,10000,0.0718282,2.05392e+14,20.3251,110,0.0001
7500,10000,0.393713,3.89246e+14,18.9116,110,0.000133333
5000,10000,0.595213,2.47463e+14,9.66994,110,0.0002
2500,10000,0.299539,1.29838e+14,4.84052,110,0.0004
1000,10000,0.744081,5.24176e+13,1.74277,110,0.001
500,10000,0.0293526,2.79408e+13,0.848224,110,0.002
250,10000,0.0088584,1.40535e+13,0.412434,110,0.004
200,10000,0.990842,1.14576e+13,0.335072,110,0.005
150,10000,0.122319,8.92105e+12,0.248401,110,0.00666667
100,10000,0.155569,6.40874e+12,0.173842,110,0.01
50,10000,1.38018,3.76199e+12,0.0903084,110,0.02
35,10000,1.13887,2.98816e+12,0.0619771,110,0.0285714
20,10000,0.480913,2.21135e+12,0.0350485,110,0.05
15,10000,0.952279,1.85305e+12,0.0275334,110,0.0666667
10,10000,0.14198,1.55429e+12,0.0176268,110,0.1
5,10000,1.15857,1.02128e+12,0.0087966,110,0.2
3,10000,2.97555,7.64511e+11,0.0052037,110,0.333333
2,10000,5.3986,6.15389e+11,0.003397,110,0.5
1,10000,11.691,0,0.0013212,110,1
10000,10000,0.655962,2.08876e+14,20.2743,110,0.0001
7500,10000,1.03744,3.90988e+14,18.5531,110,0.000133333
5000,10000,0.0499042,2.64296e+14,9.87515,110,0.0002
2500,10000,0.215609,1.31197e+14,4.82543,110,0.0004
1000,10000,0.302397,5.40424e+13,1.7158,110,0.001
500,10000,0.135165,2.75862e+13,0.844526,110,0.002
250,10000,0.484386,1.42882e+13,0.408314,110,0.004
200,10000,1.5845,1.15738e+13,0.326829,110,0.005
150,10000,0.21306,9.08397e+12,0.249565,110,0.00666667
100,10000,0.254339,6.08678e+12,0.176623,110,0.01
50,10000,0.223077,3.72285e+12,0.0913242,110,0.02
35,10000,0.33821,2.94604e+12,0.0621802,110,0.0285714
20,10000,0.276605,2.25146e+12,0.0349964,110,0.05
15,10000,0.828435,1.94446e+12,0.0259124,110,0.0666667
10,10000,0.156174,1.59351e+12,0.0177641,110,0.1
5,10000,2.13815,1.07272e+12,0.0090262,110,0.2
3,10000,3.39,7.82702e+11,0.0048095,110,0.333333
2,10000,2.9633,5.79109e+11,0.0032227,110,0.5
1,10000,10.2606,0,0.0013298,110,1
10000,10000,0.491665,1.98006e+14,19.9915,110,0.0001
7500,10000,0.0165248,3.87737e+14,18.7317,110,0.000133333
5000,10000,0.917576,2.54247e+14,9.7011,110,0.0002
2500,10000,0.492596,1.27251e+14,4.80524,110,0.0004
1000,10000,0.59709,5.08414e+13,1.77589,110,0.001
500,10000,0.522635,2.76411e+13,0.839914,110,0.002
250,10000,0.473096,1.42655e+13,0.446516,110,0.004
200,10000,0.418935,1.09129e+13,0.334552,110,0.005
150,10000,0.856364,9.04703e+12,0.250822,110,0.00666667
100,10000,0.354324,6.32423e+12,0.171682,110,0.01
50,10000,0.533474,3.73138e+12,0.0890539,110,0.02
35,10000,0.549528,3.07782e+12,0.0671563,110,0.0285714
20,10000,0.0902601,2.21986e+12,0.0369354,110,0.05
15,10000,1.8609,1.99681e+12,0.0268355,110,0.0666667
10,10000,0.937171,1.57705e+12,0.0182327,110,0.1
5,10000,1.42769,1.07831e+12,0.0089927,110,0.2
3,10000,2.48319,7.81485e+11,0.0051809,110,0.333333
2,10000,4.43719,6.5656e+11,0.0035436,110,0.5
1,10000,10.4257,0,0.0013586,110,1
10000,10000,0.5256,2.02091e+14,22.7921,110,0.0001
7500,10000,0.797232,3.7273e+14,19.6103,110,0.000133333
5000,10000,0.609868,2.57803e+14,10.1289,110,0.0002
2500,10000,0.523425,1.32389e+14,4.80613,110,0.0004
1000,10000,0.0889193,5.27073e+13,1.7189,110,0.001
500,10000,0.301812,2.7495e+13,0.857849,110,0.002
250,10000,0.0864986,1.46499e+13,0.415909,110,0.004
200,10000,0.512594,1.17443e+13,0.341409,110,0.005
