N,P,APE,kappa,runtime,K,dt
100,10000,13.0559,3.87499e+16,0.0763098,90,0.000833333
500,10000,2.96365,2.01091e+15,0.438717,90,0.000166667
1000,10000,7.3083,1.49172e+16,0.922876,90,8.33333e-05
5,10000,4.10821,3.54882e+15,0.0053582,90,0.0166667
10,10000,7.58687,3.43263e+15,0.0103176,90,0.00833333
50,10000,1.18194,8.54478e+15,0.0401523,90,0.00166667
100,10000,12.6475,7.04091e+16,0.0753432,90,0.000833333
500,10000,9.85735,2.29836e+16,0.460525,90,0.000166667
1000,10000,10.4327,3.08356e+16,0.907938,90,8.33333e-05
5,10000,4.5867,2.62549e+15,0.0057967,90,0.0166667
10,10000,6.55492,6.1993e+15,0.0106411,90,0.00833333
50,10000,9.9884,6.27429e+16,0.0388249,90,0.00166667
100,10000,17.7655,2.14928e+16,0.0815028,90,0.000833333
500,10000,14.0903,2.399e+16,0.439175,90,0.000166667
1000,10000,6.60639,9.08633e+15,0.894411,90,8.33333e-05
5,10000,2.33091,1.64937e+15,0.0105903,95,0.0166667
10,10000,4.5995,1.40263e+16,0.0121816,95,0.00833333
50,10000,5.38901,1.20797e+16,0.0570692,95,0.00166667
100,10000,3.55813,2.85411e+15,0.10336,95,0.000833333
500,10000,5.50937,2.29076e+16,0.618224,95,0.000166667
1000,10000,7.94073,1.53342e+16,1.22244,95,8.33333e-05
5,10000,7.57137,2.35311e+15,0.00773,95,0.0166667
10,10000,7.97363,1.50102e+16,0.0127865,95,0.00833333
50,10000,8.3421,2.74509e+16,0.0548919,95,0.00166667
100,10000,6.24074,1.01446e+16,0.0993872,95,0.000833333
500,10000,2.0727,2.06745e+16,0.604718,95,0.000166667
1000,10000,1.44512,9.32398e+15,1.2167,95,8.33333e-05
5,10000,2.00072,2.46964e+15,0.0094456,95,0.0166667
10,10000,4.58875,3.45615e+16,0.0138662,95,0.00833333
50,10000,2.87911,1.17408e+16,0.0463631,95,0.00166667
100,10000,2.87904,3.42547e+16,0.114323,95,0.000833333
500,10000,1.63941,2.6621e+16,0.613532,95,0.000166667
1000,10000,5.63763,1.84386e+16,1.18851,95,8.33333e-05
5,10000,1.65896,3.84569e+15,0.0093376,95,0.0166667
