P,N,S0,K,T,r,v,APE
10000,10,100.0,110.0,1.0,0.05,0.2,0.5569834349361124
10000,10,100.0,110.0,1.0,0.05,0.2,1.299964931583327
10000,10,100.0,110.0,1.0,0.05,0.2,1.0634969308988136
10000,10,100.0,110.0,1.0,0.05,0.2,0.8918889050326815
10000,10,100.0,110.0,1.0,0.05,0.2,1.0914105294557523
10000,10,100.0,110.0,1.0,0.05,0.2,0.8434284655696931
10000,10,100.0,110.0,1.0,0.05,0.2,0.9037150286661028
10000,10,100.0,110.0,1.0,0.05,0.2,0.8553977887008868
10000,10,100.0,110.0,1.0,0.05,0.2,0.7327008544600002
10000,10,100.0,110.0,1.0,0.05,0.2,0.4874492493526234
10000,10,100.0,110.0,1.0,0.05,0.2,1.6815162377988635
10000,10,100.0,110.0,1.0,0.05,0.2,1.017626009938407
10000,10,100.0,110.0,1.0,0.05,0.2,0.9536343362222551
10000,10,100.0,110.0,1.0,0.05,0.2,0.7949671914137174
10000,10,100.0,110.0,1.0,0.05,0.2,1.1718081936775846
10000,10,100.0,110.0,1.0,0.05,0.2,1.2378791754159866
10000,10,100.0,110.0,1.0,0.05,0.2,1.1395227651071032
10000,10,100.0,110.0,1.0,0.05,0.2,1.2030857375846518
10000,10,100.0,110.0,1.0,0.05,0.2,0.9501163761687266
10000,10,100.0,110.0,1.0,0.05,0.2,0.8654106435694374
10000,10,100.0,105.0,1.0,0.05,0.2,1.3154181288365059
10000,10,100.0,105.0,1.0,0.05,0.2,0.9711480626386406
10000,10,100.0,105.0,1.0,0.05,0.2,1.0124085584537974
10000,10,100.0,105.0,1.0,0.05,0.2,0.9297439796412167
10000,10,100.0,105.0,1.0,0.05,0.2,0.19694480055932145
10000,10,100.0,105.0,1.0,0.05,0.2,0.3590311869816718
10000,10,100.0,105.0,1.0,0.05,0.2,0.9051258834306356
10000,10,100.0,105.0,1.0,0.05,0.2,1.3565908313473332
10000,10,100.0,105.0,1.0,0.05,0.2,0.7015295651885903
10000,10,100.0,105.0,1.0,0.05,0.2,1.0119536054994613
10000,10,100.0,105.0,1.0,0.05,0.2,0.8363896672770453
10000,10,100.0,105.0,1.0,0.05,0.2,1.3015640709473997
10000,10,100.0,105.0,1.0,0.05,0.2,1.6368235748158009
10000,10,100.0,105.0,1.0,0.05,0.2,1.4744700424627315
10000,10,100.0,105.0,1.0,0.05,0.2,0.8101815786770119
10000,10,100.0,105.0,1.0,0.05,0.2,1.299679792677865
10000,10,100.0,105.0,1.0,0.05,0.2,0.5115995412098828
10000,10,100.0,105.0,1.0,0.05,0.2,1.677958246705831
10000,10,100.0,105.0,1.0,0.05,0.2,0.8550042210312269
10000,10,100.0,105.0,1.0,0.05,0.2,0.3938469566476674
10000,10,100.0,105.0,1.0,0.05,0.2,1.3034404173999043
10000,10,100.0,105.0,1.0,0.05,0.2,1.359298290492303
10000,10,100.0,105.0,1.0,0.05,0.2,0.7069883226071484
10000,10,100.0,105.0,1.0,0.05,0.2,1.1771395086072076
10000,10,100.0,105.0,1.0,0.05,0.2,0.8956931389799525
10000,10,100.0,105.0,1.0,0.05,0.2,1.003884474478573
10000,10,100.0,105.0,1.0,0.05,0.2,0.6026951845315187
10000,10,100.0,105.0,1.0,0.05,0.2,1.4813674863614328
10000,10,100.0,105.0,1.0,0.05,0.2,1.1731204363981695
10000,10,100.0,105.0,1.0,0.05,0.2,0.7359201692349221
10000,10,100.0,105.0,1.0,0.05,0.2,1.0030312330231677
10000,10,100.0,105.0,1.0,0.05,0.2,1.230819160379443
10000,10,100.0,105.0,1.0,0.05,0.2,1.1310909005020802
10000,10,100.0,105.0,1.0,0.05,0.2,0.9149966897182442
10000,10,100.0,105.0,1.0,0.05,0.2,1.7316569929827232
10000,10,100.0,105.0,1.0,0.05,0.2,0.8977962668157017
10000,10,100.0,105.0,1.0,0.05,0.2,0.6968210022853402
10000,10,100.0,105.0,1.0,0.05,0.2,0.6815288484648417
10000,10,100.0,105.0,1.0,0.05,0.2,1.0588609921715413
10000,10,100.0,105.0,1.0,0.05,0.2,1.0515700985307808
10000,10,100.0,105.0,1.0,0.05,0.2,1.0742818682283817
10000,10,100.0,105.0,1.0,0.05,0.2,1.445088175274009
