N,P,APE,kappa,runtime,K,dt,runFile
400,10000,2.14544,22911100000000.0,0.686188,110.0,0.0025,0
500,10000,1.24252,27200300000000.0,0.845741,110.0,0.002,0
1000,10000,0.00372152,51629000000000.0,1.74042,110.0,0.001,0
5000,10000,0.368159,257604000000000.0,9.73253,110.0,0.0002,0
5,10000,2.00383,1065090000000.0,0.0086346,110.0,0.2,0
10,10000,0.967527,1586740000000.0,0.017688,110.0,0.1,0
100,10000,0.690613,6418080000000.0,0.16961,110.0,0.01,0
125,10000,0.150027,7682670000000.0,0.209891,110.0,0.008,0
400,10000,0.101509,21301800000000.0,0.683632,110.0,0.0025,0
500,10000,0.808307,25965600000000.0,0.865183,110.0,0.002,0
1000,10000,0.164343,51580800000000.0,1.74787,110.0,0.001,0
5000,10000,0.856928,260196000000000.0,9.68341,110.0,0.0002,0
5,10000,1.43559,1097510000000.0,0.0086935,110.0,0.2,0
10,10000,1.47078,1678240000000.0,0.0177985,110.0,0.1,0
100,10000,0.973832,6192060000000.0,0.178812,110.0,0.01,0
125,10000,1.04049,7668120000000.0,0.209365,110.0,0.008,0
400,10000,0.477412,21172100000000.0,0.67247,110.0,0.0025,0
500,10000,0.691236,25947000000000.0,0.867255,110.0,0.002,0
1000,10000,0.18813,52110400000000.0,1.77503,110.0,0.001,0
5000,10000,0.334072,249849000000000.0,9.67019,110.0,0.0002,0
5,10000,0.826158,1043080000000.0,0.0083175,110.0,0.2,0
10,10000,0.0434292,1582550000000.0,0.0184496,110.0,0.1,0
100,10000,0.364595,6170210000000.0,0.167947,110.0,0.01,0
125,10000,0.452035,7657800000000.0,0.207542,110.0,0.008,0
400,10000,0.846201,22385700000000.0,0.679333,110.0,0.0025,0
500,10000,1.15829,27184100000000.0,0.865937,110.0,0.002,0
1000,10000,0.462896,55500200000000.0,1.73433,110.0,0.001,0
5000,10000,1.06977,271667000000000.0,9.69346,110.0,0.0002,0
5,10000,0.848492,1070800000000.0,0.0090464,110.0,0.2,0
10,10000,1.48609,1501190000000.0,0.0187505,110.0,0.1,0
100,10000,0.295229,6384160000000.0,0.167454,110.0,0.01,0
125,10000,0.423973,7461650000000.0,0.218549,110.0,0.008,0
400,10000,1.17439,23241100000000.0,0.683995,110.0,0.0025,0
500,10000,0.0542547,28191800000000.0,0.896783,110.0,0.002,0
1000,10000,0.204622,55187400000000.0,1.76065,110.0,0.001,0
5000,10000,0.613029,263699000000000.0,9.68469,110.0,0.0002,0
5,10000,1.14895,1042670000000.0,0.0090885,110.0,0.2,0
10,10000,1.11725,1490750000000.0,0.018368,110.0,0.1,0
100,10000,0.892021,6448070000000.0,0.169355,110.0,0.01,0
125,10000,0.30613,7252430000000.0,0.208197,110.0,0.008,0
400,10000,0.266362,22268100000000.0,0.67835,110.0,0.0025,0
500,10000,0.339588,27713200000000.0,0.871868,110.0,0.002,0
1000,10000,0.550948,54356400000000.0,1.72857,110.0,0.001,0
5000,10000,0.961968,261573000000000.0,9.7486,110.0,0.0002,0
5,10000,2.34252,1091820000000.0,0.0081817,110.0,0.2,0
10,10000,1.67316,1583720000000.0,0.0173322,110.0,0.1,0
100,10000,1.60821,6471130000000.0,0.166163,110.0,0.01,0
125,10000,0.547212,7699560000000.0,0.20624,110.0,0.008,0
400,10000,1.06689,21860800000000.0,0.682741,110.0,0.0025,0
500,10000,1.23296,27577600000000.0,0.857252,110.0,0.002,0
1000,10000,1.95542,50491200000000.0,1.78828,110.0,0.001,0
5000,10000,0.654043,257265000000000.0,9.69895,110.0,0.0002,0
5,10000,1.41789,1104140000000.0,0.0090879,110.0,0.2,0
10,10000,0.153293,1565260000000.0,0.0183201,110.0,0.1,0
