Steps,Paths,AbsPercentError,Kappa,Runtime
25,1000,1.10528,4.47199e+12,0.0232913
50,1000,6.90513,4.48642e+13,0.038864
100,1000,0.405621,9.00611e+13,0.0875485
150,1000,1.6637,6.21167e+13,0.129337
250,1000,3.30381,4.81659e+13,0.223237
500,1000,6.19433,5.67395e+14,0.511325
750,1000,3.2151,2.84553e+14,0.773609
1000,1000,6.62561,7.06117e+13,1.10178
1,1000,2.9029,0,0.0010405
5,1000,5.85846,8.40346e+11,0.0045176
25,1000,2.3093,9.90346e+12,0.0236715
50,1000,3.2365,2.35755e+13,0.0410568
100,1000,14.2513,7.83161e+14,0.0905698
150,1000,6.21181,9.42856e+13,0.132582
250,1000,1.55111,2.02738e+14,0.218128
500,1000,10.189,2.66248e+14,0.507311
750,1000,6.38213,7.20402e+14,0.79087
1000,1000,0.895111,2.1591e+15,1.16716
1,1000,8.81853,0,0.0011962
5,1000,1.52716,6.07047e+11,0.0055662
25,1000,5.03067,8.0021e+12,0.0204757
50,1000,0.348156,1.37827e+13,0.0396643
100,1000,0.797574,2.56812e+14,0.0846247
150,1000,2.27921,2.37709e+15,0.133462
250,1000,4.36308,8.5205e+13,0.213883
500,1000,7.65647,1.3424e+15,0.524892
750,1000,3.43226,9.1966e+13,0.833372
1000,1000,9.38033,2.97983e+13,1.07695
1,1000,2.08038,0,0.0012707
5,1000,5.04177,5.25566e+11,0.0045723
25,1000,6.64323,8.37798e+12,0.0233452
50,1000,5.4487,4.05824e+15,0.0465049
100,1000,7.93289,6.40548e+13,0.0876733
150,1000,12.5565,1.36998e+13,0.130748
250,1000,0.208252,1.12572e+15,0.218965
500,1000,3.44586,1.28712e+14,0.511143
750,1000,10.7412,1.55055e+14,0.807598
1000,1000,3.10437,3.05033e+14,1.14549
1,1000,5.84834,0,0.0010039
5,1000,5.27602,5.41768e+11,0.0051367
25,1000,12.3471,1.48321e+13,0.0230711
50,1000,0.0395089,1.8619e+14,0.0402591
100,1000,9.39072,6.06861e+13,0.0846136
150,1000,11.3536,2.98028e+14,0.131615
250,1000,9.1746,4.95386e+13,0.234103
500,1000,7.69589,1.45219e+15,0.518729
750,1000,5.67156,1.84747e+15,0.801233
1000,1000,2.66089,2.35031e+15,1.15158
1,1000,2.16612,0,0.0011899
5,1000,7.61127,1.0011e+12,0.0045096
25,1000,3.7736,1.09146e+13,0.0225577
50,1000,0.248984,2.81882e+14,0.0437496
100,1000,0.186855,1.00682e+15,0.0960229
150,1000,7.59874,1.01959e+16,0.15202
250,1000,7.56604,3.70314e+14,0.261483
500,1000,0.183831,1.35872e+14,0.530416
750,1000,6.5176,3.54608e+14,0.844329
1000,1000,1.84171,4.24165e+13,1.07823
1,1000,10.9808,0,0.0010407
5,1000,9.92158,4.52461e+11,0.0054004
25,1000,2.86613,1.08239e+13,0.0201302
50,1000,6.11642,9.49009e+14,0.0401508
100,1000,10.175,4.42295e+13,0.0847962
150,1000,1.53139,2.19681e+14,0.133797
250,1000,6.5079,3.61279e+14,0.223799
500,1000,1.28574,8.33372e+14,0.500457
750,1000,3.83407,2.40069e+15,0.765015
1000,1000,1.71428,2.58102e+14,1.1696
1,1000,6.99461,0,0.0012271
5,1000,4.48869,7.43133e+11,0.005525
25,1000,2.54751,3.73424e+12,0.0233806
50,1000,6.91336,8.37662e+13,0.0397122
100,1000,0.475423,7.34916e+13,0.0889909
150,1000,13.0584,3.06891e+15,0.130791
250,1000,2.23235,6.01891e+15,0.219471
500,1000,4.54685,1.29526e+15,0.491559
750,1000,4.98181,6.39477e+14,0.759711
1000,1000,5.39126,8.29976e+14,1.06436
1,1000,7.29602,0,0.001231
5,1000,19.3089,6.77864e+11,0.0045926
25,1000,1.43369,3.79489e+13,0.0222258
50,1000,6.53564,7.51286e+13,0.0419982
100,1000,5.29906,5.27062e+13,0.102935
150,1000,2.69874,2.82556e+14,0.127089
250,1000,7.32847,4.32268e+14,0.224268
500,1000,0.69134,1.18293e+14,0.494
750,1000,9.49851,9.88471e+14,0.829612
1000,1000,9.38544,4.1631e+14,1.11634
1,1000,8.16637,0,0.0013235
5,1000,3.12935,5.76219e+11,0.0045255
25,1000,0.0574004,8.53125e+12,0.0264087
50,1000,4.70841,8.1565e+14,0.0409
100,1000,0.822325,1.38682e+14,0.0900512
150,1000,5.91946,4.15056e+14,0.129765
250,1000,2.94639,2.12679e+13,0.220559
500,1000,7.97356,2.41739e+13,0.512998
750,1000,0.188106,2.14098e+15,0.821441
1000,1000,0.741925,1.17083e+14,1.12082
1,1000,3.44243,0,0.0011198
5,1000,3.59134,5.3329e+11,0.0049879
25,1000,6.88581,5.90947e+12,0.0255585
50,1000,2.50347,2.70493e+13,0.0438249
100,1000,8.54995,3.49982e+13,0.0901218
150,1000,7.6277,3.14796e+13,0.130226
250,1000,14.265,5.21255e+13,0.227252
500,1000,3.69807,5.12629e+14,0.5256
750,1000,0.0273732,7.77385e+14,0.861425
1000,1000,8.77326,1.23612e+15,1.30588
1,1000,13.9336,0,0.0009852
5,1000,0.077667,1.06804e+12,0.005095
