S0,K,T,r,v,price
100,100,0.08,0.01,0.05,0.5285302087875617
100,100,0.08,0.01,0.13,1.426205240110457
100,100,0.08,0.01,0.21,2.3247179707662435
100,100,0.08,0.01,0.29,3.223164691017637
100,100,0.08,0.01,0.37,4.121294497163324
100,100,0.08,0.01,0.45,5.018947786371482
100,100,0.08,0.01,0.53,5.915990738520165
100,100,0.08,0.01,0.61,6.812299236376139
100,100,0.08,0.01,0.69,7.707754019696675
100,100,0.08,0.01,0.8,8.937396383690642
100,100,0.08,0.025,0.05,0.4844586867113442
100,100,0.08,0.025,0.13,1.3766656599604634
100,100,0.08,0.025,0.21,2.2731270424255725
100,100,0.08,0.025,0.29,3.1702787931688006
100,100,0.08,0.025,0.37,4.0674194017116205
100,100,0.08,0.025,0.45,4.964241711556775
100,100,0.08,0.025,0.53,5.860547956112323
100,100,0.08,0.025,0.61,6.756181312249264
100,100,0.08,0.025,0.69,7.651004230024128
100,100,0.08,0.025,0.8,8.879828054947842
100,100,0.08,0.04,0.05,0.44576488761099886
100,100,0.08,0.04,0.13,1.3302095835006191
100,100,0.08,0.04,0.21,2.2238924159638747
100,100,0.08,0.04,0.29,3.1193820939210766
100,100,0.08,0.04,0.37,4.015309863915339
100,100,0.08,0.04,0.45,4.911149846383728
100,100,0.08,0.04,0.53,5.806610778837251
100,100,0.08,0.04,0.61,6.701487214587743
100,100,0.08,0.04,0.69,7.59561470679839
100,100,0.08,0.04,0.8,8.82355323013401
100,100,0.08,0.055,0.05,0.4113761684451381
100,100,0.08,0.055,0.13,1.286287422329993
100,100,0.08,0.055,0.21,2.176584718110297
100,100,0.08,0.055,0.29,3.070100498618524
100,100,0.08,0.055,0.37,3.964623272300104
100,100,0.08,0.055,0.45,4.859351196290072
100,100,0.08,0.055,0.53,5.7538723093035875
100,100,0.08,0.055,0.61,6.647920598723494
100,100,0.08,0.055,0.69,7.541297604355471
100,100,0.08,0.055,0.8,8.76829202293088
100,100,0.08,0.07,0.05,0.3806208970794167
100,100,0.08,0.07,0.13,1.244587467870884
100,100,0.08,0.07,0.21,2.1309718264757036
100,100,0.08,0.07,0.29,3.022236637621614
100,100,0.08,0.07,0.37,3.9151827027068906
100,100,0.08,0.07,0.45,4.808680612707813
100,100,0.08,0.07,0.53,5.702176677007779
100,100,0.08,0.07,0.61,6.595332544363912
100,100,0.08,0.07,0.69,7.487908025602066
100,100,0.08,0.07,0.8,8.713904825863901
100,100,0.08,0.1,0.05,0.328128793386038
100,100,0.08,0.1,0.13,1.167035081025446
