N,P,APE,kappa,runtime,K,runType
1,10000,5.69352,0.0,0.0030898,100.0,1.0
1,10000,7.76443,0.0,0.0028062,105.0,1.0
1,10000,6.62629,0.0,0.0031948,102.5,1.0
1,10000,4.52512,0.0,0.0068262,97.5,1.0
1,10000,4.64025,0.0,0.0073286,97.5,1.0
1,10000,8.11707,0.0,0.0032426,105.0,1.0
1,10000,4.6071,0.0,0.0066017,97.5,1.0
1,10000,7.67825,0.0,0.0033282,105.0,1.0
1,10000,4.5454,0.0,0.007354,97.5,1.0
1,10000,8.0546,0.0,0.0038378,105.0,1.0
1,10000,4.60672,0.0,0.0067844,97.5,1.0
1,10000,7.83544,0.0,0.0036775,105.0,1.0
1,10000,4.60497,0.0,0.0064428,97.5,1.0
1,10000,8.02956,0.0,0.0030088,105.0,1.0
1,10000,4.62668,0.0,0.0063588,97.5,1.0
1,10000,7.87477,0.0,0.0031045,105.0,1.0
1,10000,4.58473,0.0,0.0067467,97.5,1.0
1,10000,4.60728,0.0,0.0075071,97.5,1.0
1,10000,4.62038,0.0,0.006381,97.5,1.0
1,10000,7.84941,0.0,0.0031944,105.0,1.0
1,10000,4.72026,0.0,0.0067637,97.5,1.0
1,10000,7.98141,0.0,0.0046952,105.0,1.0
1,10000,4.54991,0.0,0.0064119,97.5,1.0
1,10000,7.89736,0.0,0.0045043,105.0,1.0
1,10000,4.56878,0.0,0.0071088,97.5,1.0
1,10000,8.17301,0.0,0.0039862,105.0,1.0
1,10000,4.64186,0.0,0.0064396,97.5,1.0
1,10000,8.07673,0.0,0.0052836,105.0,1.0
1,10000,4.54429,0.0,0.0073278,97.5,1.0
1,10000,7.86723,0.0,0.0032056,105.0,1.0
1,10000,7.81821,0.0,0.0028395,105.0,1.0
1,10000,4.67926,0.0,0.0065183,97.5,1.0
1,10000,8.01817,0.0,0.0036854,105.0,1.0
1,10000,4.51274,0.0,0.0117348,97.5,1.0
1,10000,7.8889,0.0,0.0032984,105.0,1.0
1,10000,4.5351,0.0,0.0095438,97.5,1.0
1,10000,7.62247,0.0,0.0037483,105.0,1.0
1,10000,4.48152,0.0,0.0112722,97.5,1.0
1,10000,7.94278,0.0,0.0086037,105.0,1.0
1,10000,4.59076,0.0,0.0093067,97.5,1.0
1,10000,7.84543,0.0,0.0027466,105.0,1.0
1,10000,4.56057,0.0,0.00637,97.5,1.0
1,10000,7.97062,0.0,0.0032951,105.0,1.0
1,10000,4.64392,0.0,0.0076368,97.5,1.0
1,10000,8.02479,0.0,0.0034304,105.0,1.0
1,10000,4.54856,0.0,0.0064118,97.5,1.0
1,10000,7.87206,0.0,0.0033918,105.0,1.0
1,10000,4.61831,0.0,0.0066504,97.5,1.0
1,10000,8.09457,0.0,0.0031723,105.0,1.0
1,10000,4.62258,0.0,0.0061764,97.5,1.0
1,10000,7.78177,0.0,0.0030558,105.0,1.0
1,10000,4.57125,0.0,0.0065262,97.5,1.0
1,10000,7.96192,0.0,0.00302,105.0,1.0
1,10000,4.59264,0.0,0.006815,97.5,1.0
1,10000,8.05261,0.0,0.0032858,105.0,1.0
1,10000,4.58494,0.0,0.0066325,97.5,1.0
1,10000,7.99741,0.0,0.0036719,105.0,1.0
1,10000,4.62495,0.0,0.0065016,97.5,1.0
1,10000,7.90853,0.0,0.0043245,105.0,1.0
1,10000,7.879,0.0,0.0031273,105.0,1.0
1,10000,4.56905,0.0,0.0061876,97.5,1.0
1,10000,4.5797,0.0,0.0076795,97.5,1.0
1,10000,4.58051,0.0,0.0069128,97.5,1.0
1,10000,8.003,0.0,0.0033796,105.0,1.0
1,10000,4.55736,0.0,0.0069124,97.5,1.0
1,10000,7.89623,0.0,0.0036796,105.0,1.0
1,10000,4.5272,0.0,0.0066825,97.5,1.0
